subject_id,session_id,run_id,suffix,dir,acq,scan,QU_motion,QU_motion_source
sub-105370,ses-V03,1,epi,AP,,sub-105370/ses-V03/fmap/sub-105370_ses-V03_dir-AP_run-1_epi.nii.gz,1.0,SYNTHETIC
sub-105370,ses-V03,2,epi,AP,,sub-105370/ses-V03/fmap/sub-105370_ses-V03_dir-AP_run-2_epi.nii.gz,3.5,SYNTHETIC
sub-105370,ses-V03,1,epi,PA,,sub-105370/ses-V03/fmap/sub-105370_ses-V03_dir-PA_run-1_epi.nii.gz,3.0,SYNTHETIC
sub-105370,ses-V03,2,epi,PA,,sub-105370/ses-V03/fmap/sub-105370_ses-V03_dir-PA_run-2_epi.nii.gz,2.5,SYNTHETIC
sub-105370,ses-V04,1,epi,AP,,sub-105370/ses-V04/fmap/sub-105370_ses-V04_dir-AP_run-1_epi.nii.gz,2.5,SYNTHETIC
sub-105370,ses-V04,2,epi,AP,,sub-105370/ses-V04/fmap/sub-105370_ses-V04_dir-AP_run-2_epi.nii.gz,4.0,SYNTHETIC
sub-105370,ses-V04,1,epi,PA,,sub-105370/ses-V04/fmap/sub-105370_ses-V04_dir-PA_run-1_epi.nii.gz,1.0,SYNTHETIC
sub-105370,ses-V04,2,epi,PA,,sub-105370/ses-V04/fmap/sub-105370_ses-V04_dir-PA_run-2_epi.nii.gz,3.0,SYNTHETIC
sub-105421,ses-V02,1,epi,AP,,sub-105421/ses-V02/fmap/sub-105421_ses-V02_dir-AP_run-1_epi.nii.gz,1.5,SYNTHETIC
sub-105421,ses-V02,2,epi,AP,,sub-105421/ses-V02/fmap/sub-105421_ses-V02_dir-AP_run-2_epi.nii.gz,1.0,SYNTHETIC
sub-105421,ses-V02,1,epi,PA,,sub-105421/ses-V02/fmap/sub-105421_ses-V02_dir-PA_run-1_epi.nii.gz,2.5,SYNTHETIC
sub-105421,ses-V02,2,epi,PA,,sub-105421/ses-V02/fmap/sub-105421_ses-V02_dir-PA_run-2_epi.nii.gz,4.0,SYNTHETIC
sub-111146,ses-V04,1,epi,AP,,sub-111146/ses-V04/fmap/sub-111146_ses-V04_dir-AP_run-1_epi.nii.gz,3.5,SYNTHETIC
sub-111146,ses-V04,2,epi,AP,,sub-111146/ses-V04/fmap/sub-111146_ses-V04_dir-AP_run-2_epi.nii.gz,3.5,SYNTHETIC
sub-111146,ses-V04,3,epi,AP,,sub-111146/ses-V04/fmap/sub-111146_ses-V04_dir-AP_run-3_epi.nii.gz,3.5,SYNTHETIC
sub-111146,ses-V04,1,epi,PA,,sub-111146/ses-V04/fmap/sub-111146_ses-V04_dir-PA_run-1_epi.nii.gz,3.5,SYNTHETIC
sub-111146,ses-V04,2,epi,PA,,sub-111146/ses-V04/fmap/sub-111146_ses-V04_dir-PA_run-2_epi.nii.gz,2.5,SYNTHETIC
sub-111146,ses-V04,3,epi,PA,,sub-111146/ses-V04/fmap/sub-111146_ses-V04_dir-PA_run-3_epi.nii.gz,1.0,SYNTHETIC
sub-114302,ses-V02,1,epi,AP,,sub-114302/ses-V02/fmap/sub-114302_ses-V02_dir-AP_run-1_epi.nii.gz,3.5,SYNTHETIC
sub-114302,ses-V02,2,epi,AP,,sub-114302/ses-V02/fmap/sub-114302_ses-V02_dir-AP_run-2_epi.nii.gz,2.5,SYNTHETIC
sub-114302,ses-V02,1,epi,PA,,sub-114302/ses-V02/fmap/sub-114302_ses-V02_dir-PA_run-1_epi.nii.gz,2.5,SYNTHETIC
sub-114302,ses-V02,2,epi,PA,,sub-114302/ses-V02/fmap/sub-114302_ses-V02_dir-PA_run-2_epi.nii.gz,2.0,SYNTHETIC
sub-115876,ses-V04,1,epi,AP,,sub-115876/ses-V04/fmap/sub-115876_ses-V04_dir-AP_run-1_epi.nii.gz,1.5,SYNTHETIC
sub-115876,ses-V04,2,epi,AP,,sub-115876/ses-V04/fmap/sub-115876_ses-V04_dir-AP_run-2_epi.nii.gz,4.0,SYNTHETIC
sub-115876,ses-V04,1,epi,PA,,sub-115876/ses-V04/fmap/sub-115876_ses-V04_dir-PA_run-1_epi.nii.gz,3.5,SYNTHETIC
sub-115876,ses-V04,2,epi,PA,,sub-115876/ses-V04/fmap/sub-115876_ses-V04_dir-PA_run-2_epi.nii.gz,3.0,SYNTHETIC
sub-121257,ses-V02,1,epi,AP,,sub-121257/ses-V02/fmap/sub-121257_ses-V02_dir-AP_run-1_epi.nii.gz,2.0,SYNTHETIC
sub-121257,ses-V02,2,epi,AP,,sub-121257/ses-V02/fmap/sub-121257_ses-V02_dir-AP_run-2_epi.nii.gz,3.5,SYNTHETIC
sub-121257,ses-V02,1,epi,PA,,sub-121257/ses-V02/fmap/sub-121257_ses-V02_dir-PA_run-1_epi.nii.gz,2.5,SYNTHETIC
sub-121257,ses-V02,2,epi,PA,,sub-121257/ses-V02/fmap/sub-121257_ses-V02_dir-PA_run-2_epi.nii.gz,2.5,SYNTHETIC
